name "Ward"
type "Restoration"
description "The caster touches a single target, granting that target a layer of protection against negative magic attacks.  The next time a negative effect is applied to the target, it is immediately removed.  The spell lasts for 3 rounds plus one per three caster levels or until it removes an effect.  The list of spells that Ward provides protection from includes: Anti-Magic, Blindness, Curse, Deafen, Freeze, Flaming Fingers, Slow, and Vulnerability.  Note that Ward does not protect from the initial damage from a spell, only from its lasting negative effects."
activateable true
fixed true
cooldown 10

icon "icons/ward"
scriptFile "spells/ward"

spell true
spellLevel 3
verbalComponent true
somaticComponent true
spellResistance false

actionPointCost 6000

actionType Buff
groupType Single
rangeType Touch
aiPower 30
aiPriority 8

addPrereq Stat CasterLevel 7
addPrereq Ability Dispell
